Code;Flavor Text;Game Text;Item Name
1111;You've made rope! Rope may prove useful while exploring.;Discard the materials used and gain the Rope item card (search the Item Card deck facedown for IT29). Record the recipe for this item in your tribe's journal.;Rope
1120;You've made a piton! This sturdy spike with a rope attached could be useful for navigating underground tunnels. If you need to make more, you could probably also make one with a sharpened shell.;Discard the materials used and gain the Piton item card (search the Item Card deck facedown for IT76). Record the recipe for this item in your tribe's journal.;Piton
1121;You've made a snare! You can set this at night, with a bit of bait, and hopefully catch a small animal.;Discard the materials used and gain the Snare item card (search the Item Card deck facedown for IT78). Record the recipe for this item in your tribe's journal.;Snare
1122;You've made a travois! It's a simple sled that can be dragged behind you, allowing you to haul materials.;Discard the materials used and gain the Travois item card (search the Item Card deck facedown for IT27). Record the recipe for this item in your tribe's journal.;Travois
1131;You've made a sewing kit! You'll be able to mend clothes with this.;Discard the materials used and gain the Sewing Needle item card (search the Item Card deck facedown for IT75). Record the recipe for this item in your tribe's journal.;Sewing Needle
1132;You've made a walking stick! A walking stick may prove useful while exploring.;Discard the materials used and gain the Walking Stick item card (search the Item Card deck facedown for IT24). Record the recipe for this item in your tribe's journal.;Walking Stick
1133;You've made a bow drill! This advanced tool spins a drill by moving a bow back and forth. It can be used to easily drill holes, or even start fires with friction.;Discard the materials used and gain the Bow Drill item card (search the Item Card deck facedown for IT77). Record the recipe for this item in your tribe's journal.;Bow Drill
1144;You've made a necklace of bones! This necklace displays your trophies and wearing it makes you feel more capable.;Discard the materials used and gain the Necklace of Bones item card (search the Item Card deck facedown for IT46). Record the recipe for this item in your tribe's journal.;Necklace of Bones
1145;You've made bolas! This thrown weapon is exceptional at catching prey while hunting.;Discard the materials used and gain the Bolas item card (search the Item Card deck facedown for IT15). Record the recipe for this item in your tribe's journal.;Bolas
1146;You carefully tie a string to a piece of the blooming coral and fashion a necklace. You feel strangely invigorated wearing a necklace made from such rare material.;Discard the materials used and gain the Necklace of Coral item card (search the Item Card deck facedown for IT47). Record the recipe for this item in your tribe's journal.;Necklace of Coral
