Code;Flavor Text;Game Text;Item Name
1222;You've crafted many things from stones – some tools, some weapons. But never with a stone this sharp, so imbued with raw power and violence. This could only be used the make a weapon. And while different weapons have different strengths and weaknesses, there's no denying that a spear is the most versatile. And so you set to work, crafting a spear tipped with a piece of an actual behemoth. While tying the last binding, your hand slips and the deadly stone cuts deep. You'll heal in time, but you now have a sobering reminder of the weapon's deadly power. Use it wisely.;Suffer a major injury. You are now wise (add this trait to your character card). Discard the Ruinous Shard item card and the material used in crafting, then gain the Ruinous Spear item card (search the Item Card deck facedown for IT94).;Ruinous Spear
1330;You've kept the piece of discarded skin as a trophy from your encounter with the behemoth. The hue of the skin shifts and sometimes shimmers in the light, and at times even you've thought it had vanished, only to realize it's there in front of you, the color of the skin somehow altered to whatever it was laid upon. Like an animal hide, it could be made into clothes. So with some cured guts, you sew the skin into a fine raiment. You put it on, and at that moment, a friend enters your workshop. "Hello?" they say to your surprise, since you're standing almost in front of them! You look down to see that the raiment's color has shifted to be nearly the same as the wall you're standing near. Your sudden movement gives your friend a shock! You'll have to go hunting with this on, but first you'll need to calm your friend!;Gain 1 energy and a major boost to any attribute. Choose another character in your hex, if able, they lose all boosts. Discard the Iridescent Skin item card and the material used in crafting, then gain the Iridescent Raiment item card (search the Item Card deck facedown for IT98).;Iridescent Raiment
1431;In moments of silence, you sometimes catch faint tones and notes from the strands taken from the behemoth. They're so fine and strong you consider using them as line for fishing or weaving them into a rope for climbing, but that just doesn't seem like the right use for them. They're too... special. And something tells you that isn't what the strand would... want. No, that's silly, they can't talk. They have no voice... but what if they did? You gather finely carved bone, and tie the wavering strands taut between two pieces. You've made a harp! You pluck a cord and the note overwhelms you. Your mind is filled with visions of heroic deeds and triumphs. With the instrument you can inspire your people.;Gain a major boost to every attribute. Discard the Whispering Strands item card and the material used in crafting, then gain the Whispering Harp item card (search the Item Card deck facedown for IT96).;Whispering Harp
1444;In moments of silence, you sometimes catch faint tones and notes from the strands taken from the behemoth. They're so fine and strong you consider using them as line for fishing or weaving them into a rope for climbing, but that just doesn't seem like the right use for them. They're too... special. And something tells you that isn't what the strand would... want. No, that's silly, they can't talk. They have no voice... but what if they did? You gather finely carved bone, and tie the wavering strands taut between two pieces. You've made a harp! You pluck a cord and the note overwhelms you. Your mind is filled with visions of heroic deeds and triumphs. With the instrument you can inspire your people.;Gain a major boost to every attribute. Discard the Whispering Strands item card and the material used in crafting, then gain the Whispering Harp item card (search the Item Card deck facedown for IT96).;Whispering Harp
1555;The moss taken from your encounter with the behemoth continues to grow day by day, even though unattached to ground. The lush auroma and vibrant green makes you yearn to leave the outpost behind and slip away into the woods and plains of the valley. You take the moss and weave it with strands of braided plants, fashioning it into a cloak. Donning the hooded garment and head out into the valley, where each tree, root, and blade of grass seems stand out and to hold within in the secrets of the world itself. ;Gain 1 lore. If your age is old, change it to young. Discard the Shimmering Moss item card and the material used in crafting, then gain the Shimmering Shroud item card (search the Item Card deck facedown for IT95).;Shimmering Shroud
1664;You've kept the broken stone from the behemoth encounter with but you avoid handling it as much as possible. The stone itself is somehow imbued with the cataclysmic force of the behemoth. In the same way that the behemoth shapes the valley around it, the stone changes things it comes in contact with in subtle ways. Nonetheless, the stone is powerful, it represents dominance, and asserting one's will on the world. If only there was another material, one as potent as the stone, that could hold it. Suddenly you have an idea – the coral, that seems dead but comes back to life in the light of a passing comet – a living thing could resist the altering power of the stone. You set the stone in a large bloom of coral and slowly, almost imperceptibly, the coral begins to grow around the stone, perhaps feeding off its energy. You affix a piece of wood to the coral and hold the staff aloft. You feel an aura of power emanating from it. Working so closely with the stone has changed you.;Permanently raise one of your attributes by 1 and permanently lower one of your attributes by 1 (this can cause attributes to be 0 or 7). Discard the Sundered Stone item card and the material used in crafting, then gain the Sundered Staff item card (search the Item Card deck facedown for IT97).;Sundered Staff
6223;After letting some liquid moonblood harden into a thin, flat shape under the light of a full moon, you further hone the sharpened edge and affix a handle. This knife is undoubtedly the sharpest you've ever used, and seems to never dull. You notice it to be even keener and harder the day after the light of another full moon.;Discard the materials used and gain the Moonblood Knife item card (search the Item Card deck facedown for IT57). Record the recipe for this item in your tribe's journal.;Moonblood Knife
6240;After letting some liquid moonblood harden into a thin, flat shape under the light of a full moon, you paint a design to represent the night moon on the now hardened material. Taking the token with you, you feel strangely invigorated whenever the moon appears at night, or when near the moraines left behind by the cold glaciers of ice. ;Discard the materials used and gain the Moonblood Talisman item (search the Item Card deck facedown for IT55). Record the recipe for this item in your tribe's journal.;Moonblood Talisman
6411;You carefully tie a string to a piece of the blooming coral and fashion a necklace. You feel strangely invigorated wearing a necklace made from such rare material.;Discard the materials used and gain the Necklace of Coral item card (search the Item Card deck facedown for IT47). Record the recipe for this item in your tribe's journal.;Necklace of Coral
6440;You carefully paint a piece of living coral to represent a comet of the night sky. Taking the token with you, you feel strangely invigorated whenever a comet appears at night, or when near the deep chasms where the coral was found.;Discard the materials used and gain the Coral Talisman item card (search the Item Card deck facedown for IT56). Record the recipe for this item in your tribe's journal.;Coral Talisman
