Code;Flavor Text;Game Text;Item Name
1110;You've made a necklace of feathers! This necklace displays your trophies and wearing it makes you feel more capable. ;Discard the materials used and gain the Necklace of Feathers item card (search the Item Card deck facedown for IT43). Record the recipe for this item in your tribe's journal.;Necklace of Feathers
1111;You've made rope! Rope may prove useful while exploring.;Discard the materials used and gain the Rope item card (search the Item Card deck facedown for IT29). Record the recipe for this item in your tribe's journal.;Rope
1120;You've made a necklace of teeth! This necklace displays your trophies and wearing it makes you feel more capable.;Discard the materials used and gain the Necklace of Teeth item card (search the Item Card deck facedown for IT44). Record the recipe for this item in your tribe's journal.;Necklace of Teeth
1122;You've made a travois! It's a simple sled that can be dragged behind you, allowing you to haul materials.;Discard the materials used and gain the Travois item card (search the Item Card deck facedown for IT27). Record the recipe for this item in your tribe's journal.;Travois
1135;You've made a sling! A sling is excellent for hunting and can hurl stones with deadly precision. You've made a small pouch too, to hold the stones you'll need to have on hand.;Discard the materials used and gain the Sling item card (search the Item Card deck facedown for IT31). Record the recipe for this item in your tribe's journal.;Sling
1163;You've made a necklace of shells! This necklace displays your trophies and wearing it makes you feel more capable. ;Discard the materials used and gain the Necklace of Shells item card (search the Item Card deck facedown for IT45). Record the recipe for this item in your tribe's journal.;Necklace of Shells
2114;Perhaps if you used regular wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
2123;A handle affixed to a hard, pointed stick could be a useful tool. Perhaps if the stick pointed outwards…;You may attempt to craft using these two materials again or return these materials to your inventory.;None
2130;Hardened, carved wood and cured animal guts are useful materials, but this arrangement doesn't yield anything useful. Perhaps if the wood were turned vertically and the guts tied to each end…;You may attempt to craft using these two materials again or return these materials to your inventory.;None
2134;Perhaps if you used regular wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
2142;Perhaps if you used regular wood as a handle, you could make a tool with the cloudstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
2152;The woven sheets of silk are so light, they almost float on the air. Suddenly you have an epiphany! You gather hardened pieces of wood and begin assembling something remarkable. You've made a glider! Despite its size, it's incredibly light! And with a running start you can glide in the air for a very long distance. ;Discard the materials used and gain the Glider item card (search the Item Card deck facedown for IT82). Record the recipe for this item in your tribe's journal.;Glider
2153;You suspect hide could be stretched over hardened wood to create some kind of structure, but the wood will have to point up (or down) so that the structure has more height.;You may attempt to craft using these two materials again or return these materials to your inventory.;None
2156;Perhaps if you used regular wood, you could create something interesting with the sunstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
2211;You've made a travois! It's a simple sled that can be dragged behind you, allowing you to haul materials.;Discard the materials used and gain the Travois item card (search the Item Card deck facedown for IT27). Record the recipe for this item in your tribe's journal.;Travois
2220;You've made an atlatl! By placing a spear on the atlatl and holding the atlatl, you gain tremendous leverage to throw the spear further and harder.;Discard the materials used and gain the Atlatl item card (search the Item Card deck facedown for IT79). Record the recipe for this item in your tribe's journal.;Atlatl
2222;Two pieces of wood end to end don't create anything useful, perhaps if you rotated one, or if you hardened one of the pieces over a fire to make it stronger…;You may attempt to craft using these two materials again or return these materials to your inventory.;None
2224;You've made a cloudstone mallet! It can be used to strike and break materials, and also used as a hammer to construct buildings and drive tent stakes. It can also be used as a weapon if necessary.;Discard the materials used and gain the Cloudstone Mallet item card (search the Item Card deck facedown for IT23). Record the recipe for this item in your tribe's journal.;Cloudstone Mallet
2235;You've made a drum! This musical instrument can enliven you and your companions.;Discard the materials used and gain the Drum item card (search the Item Card deck facedown for IT39). Record the recipe for this item in your tribe's journal.;Drum
2254;While this shape would create a spear, rounded cloudstone isn't a suitable tip. You'll need something sharper. Though, cloudstone could make for a powerful blunt weapon or striking tool...;You may attempt to craft using these two materials again or return these materials to your inventory.;None
2263;You've made an adze from the shell of a predator! An adze is used for digging, and can be used as a decent weapon if necessary.;Discard the materials used and gain the Shell Adze item card (search the Item Card deck facedown for IT71). Record the recipe for this item in your tribe's journal.;Shell Adze
3113;You've made a bone flute! This musical instrument can lift the spirits of you and your companions.;Discard the materials used and gain the Flute item card (search the Item Card deck facedown for IT40). Record the recipe for this item in your tribe's journal.;Flute
3114;Perhaps if you used regular bone or wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
3123;A handle affixed to a sharpened bone could be a useful tool. Perhaps if the tip of the bone pointed outwards…;You may attempt to craft using these two materials again or return these materials to your inventory.;None
3134;Perhaps if you used regular bone or wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
3142;Perhaps if you used regular wood as a handle, you could make a tool with the cloudstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
3152;The woven sheets of silk are so light, they almost float on the air. Suddenly you have an epiphany! Perhaps you can fly on in the air like birds do! You gather several carved pieces of bone and begin assembling something remarkable. You've made silk wings! You fashion a harness and strap the wings to your back. While you may not be able to fly over long distances, with a good gust of wind you can take off and soar over any obstacle or danger in your path.;Discard the materials used and gain the Silk Wings item card (search the Item Card deck facedown for IT83). Record the recipe for this item in your tribe's journal.;Silk Wings
3156;Perhaps if you used regular bone or wood, you could create something interesting with the sunstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
3212;A handle affixed to a hard, pointed stick could be a useful tool. Perhaps if the stick pointed outwards…;You may attempt to craft using these two materials again or return these materials to your inventory.;None
3213;A handle affixed to a sharpened bone could be a useful tool. Perhaps if the tip of the bone pointed outwards…;You may attempt to craft using these two materials again or return these materials to your inventory.;None
3214;You've made a riverstone axe! An axe allows you to gather wood more efficiently, and to clear forests for building new outposts. It also serves as a decent weapon.;Discard the materials used and gain the Riverstone Axe item card (search the Item Card deck facedown for IT11). Record the recipe for this item in your tribe's journal.;Riverstone Axe
3215;You've made an axe from the shell of a predator! An axe allows you to gather wood more efficiently, and to clear forests for building new outposts. It also serves as a decent weapon.;Discard the materials used and gain the Shell Axe item card (search the Item Card deck facedown for IT70). Record the recipe for this item in your tribe's journal.;Shell Axe
3216;After pouring some of the liquid moonblood over a flat surface so that it hardens into a thin blade under the light of a full moon, you affix a handle. The axe you've made is keen and menacing, unlike any weapon you've made before. It even appears to harden further for a short time after each full moon.;Discard the materials used and gain the Moonblood Axe item card (search the Item Card deck facedown for IT59). Record the recipe for this item in your tribe's journal.;Moonblood Axe
3223;Two pieces of wood side by side don't create anything useful, perhaps if you rotated one, or if you hardened one of the pieces over a fire to make it stronger…;You may attempt to craft using these two materials again or return these materials to your inventory.;None
3226;After letting some liquid moonblood harden into a thin, flat shape under the light of a full moon, you further hone the sharpened edge and affix a handle. This knife is undoubtedly the sharpest you've ever used, and seems to never dull. You notice it to be even keener and harder the day after the light of another full moon.;Discard the materials used and gain the Moonblood Knife item card (search the Item Card deck facedown for IT57). Record the recipe for this item in your tribe's journal.;Moonblood Knife
3230;You've made a lyre! This musical instrument can soothe you and your companions. ;Discard the materials used and gain the Lyre item card (search the Item Card deck facedown for IT41). Record the recipe for this item in your tribe's journal.;Lyre
3233;Attaching a handle to a pointed piece of wood could prove useful, but unfortunately not in this configuration.;You may attempt to craft using these two materials again or return these materials to your inventory.;None
3234;You've made a riverstone knife! A knife is a useful tool for cutting material, and can be used to defend yourself.;Discard the materials used and gain the Riverstone Knife item card (search the Item Card deck facedown for IT02). Record the recipe for this item in your tribe's journal.;Riverstone Knife
3236;You've made a knife from the shell of a predator! This knife is extremely hard and sharp, and useful both as a tool for cutting material and a weapon for defending yourself.;Discard the materials used and gain the Shell Knife item card (search the Item Card deck facedown for IT66). Record the recipe for this item in your tribe's journal.;Shell Knife
3242;You're quite sure that these materials can be made into something useful, perhaps a different orientation will yield a result.;You may attempt to craft using these two materials again or return these materials to your inventory.;None
3244;You've made a bone knife! A knife is a useful tool for cutting material, and can be used to defend yourself.;Discard the materials used and gain the Bone Knife item card (search the Item Card deck facedown for IT01). Record the recipe for this item in your tribe's journal.;Bone Knife
3250;You've made a torch! After lighting at a fire you can carry it with you, to light other fires or perhaps to guide you in the dark...;Discard the materials used and gain the Torch item card (search the Item Card deck facedown for IT34). Record the recipe for this item in your tribe's journal.;Torch
3253;You've made a drum! This musical instrument can enliven you and your companions.;Discard the materials used and gain the Drum item card (search the Item Card deck facedown for IT39). Record the recipe for this item in your tribe's journal.;Drum
3255;You've made a broom! While it's a simple and rudimentary tool, it's still important to keep your home tidy!;Discard the materials used and gain the Broom item card (search the Item Card deck facedown for IT25). Record the recipe for this item in your tribe's journal.;Broom
3256;You've made a lithophone! This musical instrument can inspire you and your companions.;Discard the materials used and gain the lithophone item card (search the Item Card deck facedown for IT42). Record the recipe for this item in your tribe's journal.;Lithophone
3266;While useful for construction, clay and wood, or clay and bone, don't create a useful tool. Perhaps a different stone could be used instead.;Return the materials to your inventory. Gain back 1 energy.;None
3314;Perhaps if you used regular wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
3323;Attaching a handle to a pointed piece of wood could prove useful, but unfortunately not in this configuration.;You may attempt to craft using these two materials again or return these materials to your inventory.;None
3330;You've made a bow! You'll also need arrows. You should gather some extra hardened wood for the arrow shafts, but the sharp tips and feathers are the most important parts...;Discard the materials used and gain the Wooden Bow item card (search the Item Card deck facedown for IT09). Record the recipe for this item in your tribe's journal.;Wooden Bow
3334;Perhaps if you used regular wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
3340;You carefully carve a piece of wood to represent one of the small rodents of the plains, then harden it of the fire and paint it with special pigment. Much more than just a trinket, this item has important meaning for you.;Discard the materials used and gain the Wooden Talisman item card (search the Item Card deck facedown for IT49). Record the recipe for this item in your tribe's journal.;Wooden Talisman
3342;Perhaps if you used regular wood as a handle, you could make a tool with the cloudstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
3352;The woven sheets of silk are so light, they almost float on the air. Suddenly you have an epiphany! You gather hardened pieces of wood and begin assembling something remarkable. You've made a glider! Despite its size, it's incredibly light! And with a running start you can glide in the air for a very long distance. ;Discard the materials used and gain the Glider item card (search the Item Card deck facedown for IT82). Record the recipe for this item in your tribe's journal.;Glider
3353;You've made a small tent! A tent can be set up to provide shelter, and taken down to be moved to a new location.;Discard the materials used and gain the Tent item card (search the Item Card deck facedown for IT37). Record the recipe for this item in your tribe's journal.;Tent
3355;You've made a bow! You'll also need arrows. You should gather some extra hardened wood for the arrow shafts, but the sharp tips and feathers are the most important parts...;Discard the materials used and gain the Wooden Bow item card (search the Item Card deck facedown for IT09). Record the recipe for this item in your tribe's journal.;Wooden Bow
3356;Perhaps if you used regular wood, you could create something interesting with the sunstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
4112;Perhaps if you used regular wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
4113;Perhaps if you used regular bone or wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
4114;Two riverstones together don't create anything useful. Perhaps a riverstone and a different stone would yield a more interesting result…;Return the materials to your inventory.;None
4123;You've made a riverstone axe! An axe allows you to gather wood more efficiently, and to clear forests for building new outposts. It also serves as a decent weapon.;Discard the materials used and gain the Riverstone Axe item card (search the Item Card deck facedown for IT11). Record the recipe for this item in your tribe's journal.;Riverstone Axe
4133;Perhaps if you used regular wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
4134;Two riverstones together don't create anything useful. Perhaps a riverstone and a different stone would yield a more interesting result…;Return the materials to your inventory.;None
4142;You've made a set of spark stones! These stones can be struck together to create sparks and light a fire.;Discard the materials used and gain the Spark Stones item card (search the Item Card deck facedown for IT16). Record the recipe for this item in your tribe's journal.;Spark Stones
4144;Perhaps if you used regular bone or wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
4156;A riverstone and sunstone together don't yield anything useful. Perhaps if you substituted a cloudstone for one of the other stones…;Return the materials to your inventory.;None
4312;Perhaps if you used regular wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
4313;Perhaps if you used regular bone or wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
4314;Two riverstones together don't create anything useful. Perhaps a riverstone and a different stone would yield a more interesting result…;Return the materials to your inventory.;None
4323;You've made a riverstone knife! A knife is a useful tool for cutting material, and can be used to defend yourself.;Discard the materials used and gain the Riverstone Knife item card (search the Item Card deck facedown for IT02). Record the recipe for this item in your tribe's journal.;Riverstone Knife
4333;Perhaps if you used regular wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
4334;Two riverstones together don't create anything useful. Perhaps a riverstone and a different stone would yield a more interesting result…;Return the materials to your inventory.;None
4340;After shaping a piece of riverstone, you paint it with a design to represent the omen of the stars. Much more than just a trinket, this item has important meaning for you.;Discard the materials used and gain the Riverstone Talisman item card (search the Item Card deck facedown for IT51). Record the recipe for this item in your tribe's journal.;Riverstone Talisman
4342;You've made a set of spark stones! These stones can be struck together to create sparks and light a fire.;Discard the materials used and gain the Spark Stones item card (search the Item Card deck facedown for IT16). Record the recipe for this item in your tribe's journal.;Spark Stones
4344;Perhaps if you used regular bone or wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
4356;A riverstone and sunstone together don't yield anything useful. Perhaps if you substituted a cloudstone for one of the other stones…;Return the materials to your inventory.;None
4414;Perhaps if you used regular bone or wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
4423;You've made a bone knife! A knife is a useful tool for cutting material, and can be used to defend yourself.;Discard the materials used and gain the Bone Knife item card (search the Item Card deck facedown for IT01). Record the recipe for this item in your tribe's journal.;Bone Knife
4430;You've made a bone bow! This bow is more powerful, and can be used to take down even a predator. You'll also need arrows though. You should gather some extra hardened wood for the arrow shafts, but the sharp tips and feathers are the most important parts...;Discard the materials used and gain the Bone Bow item card (search the Item Card deck facedown for IT10). Record the recipe for this item in your tribe's journal.;Bone Bow
4434;Perhaps if you used regular bone or wood as a handle, you could make a tool with the riverstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
4440;You carefully card a piece of bone to represent one of the beasts of the woods, then paint it with special pigment. Much more than just a trinket, this item has important meaning for you.;Discard the materials used and gain the Bone Talisman item card (search the Item Card deck facedown for IT50). Record the recipe for this item in your tribe's journal.;Bone Talisman
4442;Perhaps if you used regular wood as a handle, you could make a tool with the cloudstone. Similarly, perhaps affixing the hardened wood to another piece of regular wood could yield something useful.;Return the materials to your inventory.;None
4452;The woven sheets of silk are so light, they almost float on the air. Suddenly you have an epiphany! Perhaps you can fly on in the air like birds do! You gather several carved pieces of bone and begin assembling something remarkable. You've made silk wings! You fashion a harness and strap the wings to your back. While you may not be able to fly over long distances, with a good gust of wind you can take off and soar over any obstacle or danger in your path.;Discard the materials used and gain the Silk Wings item card (search the Item Card deck facedown for IT83). Record the recipe for this item in your tribe's journal.;Silk Wings
4456;Perhaps if you used regular bone or wood, you could create something interesting with the sunstone. Similarly, perhaps affixing the carved bone to another piece of regular bone or wood could yield something useful.;Return the materials to your inventory.;None
4522;While this shape would create a spear, rounded cloudstone isn't a suitable tip. You'll need something sharper. Though, cloudstone could make for a powerful blunt weapon or striking tool...;You may attempt to craft using these two materials again or return these materials to your inventory.;None
4524;Two cloudstones together don't create anything useful. Perhaps a cloudstone and a different stone would yield a more interesting result…;Return the materials to your inventory.;None
4554;Two cloudstones together don't create anything useful. Perhaps a cloudstone and a different stone would yield a more interesting result…;Return the materials to your inventory.;None
